year,country_iso,country_code,reported_classification_imports,reported_classification_exports,reported_currency_imports,reported_currency_exports,trade_flow_imports,trade_flow_exports,currency_conversion_factor_imports,currency_conversion_factor_exports,trade_system_imports,trade_system_exports,valuation_imports,valuation_exports,partner_imports,partner_exports
1979,gtm,320,sitc rev.1,sitc rev.1,gtq,gtq,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1979,guy,328,sitc rev.1,sitc rev.1,gyd,gyd,imports,exports,0.392157,0.392157,special,special,cif,fob,origin,last known destination
1979,hti,332,sitc rev.2,sitc rev.2,htg,htg,imports,exports,0.2,0.2,general,general,cif,fob,origin,last known destination
1979,hnd,340,sitc rev.1,sitc rev.1,usd,hnl,imports,exports,1,0.5,special,special,cif,fob,origin,last known destination
1979,hun,348,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,general,general,cif,fob,purchase,sale
1979,isl,352,sitc rev.2,sitc rev.2,isk,isk,imports,exports,0.2834,0.284,special,special,cif,fob,origin,last known destination
1979,ind,699,sitc rev.2,sitc rev.2,inr,inr,imports,exports,0.123134,0.123021,general,general,cif,fob,consignment,last known destination
1979,idn,360,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1979,irl,372,sitc rev.2,sitc rev.2,iep,iep,imports,exports,2.04699,2.05085,general,general,cif,fob,origin,last known destination
1979,isr,376,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,purchase,last known destination
1979,ita,381,sitc rev.2,sitc rev.2,itl,itl,imports,exports,0.120602,0.12055,special,special,cif,fob,origin,last known destination
1979,jam,388,sitc rev.2,sitc rev.2,jmd,jmd,imports,exports,0.565432,0.56531,special,special,cif,fob,origin,last known destination
1979,jpn,392,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1979,jor,400,sitc rev.1,sitc rev.1,jod,jod,imports,exports,3.32787,3.32742,special,special,cif,fob,origin,last known destination
1979,ken,404,sitc rev.1,sitc rev.1,kes,kes,imports,exports,0.1338,0.1376,general,general,cif,fob,origin,last known destination
1979,kir,296,sitc rev.1,sitc rev.1,aud,aud,imports,exports,1.11734,1.11677,special,special,cif,fob,origin,last known destination
1979,kwt,414,sitc rev.1,sitc rev.1,kwd,kwd,imports,exports,3.62126,3.619127,special,special,cif,fob,origin,last known destination
1979,lbr,430,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1979,lby,434,sitc rev.1,sitc rev.1,lyd,lyd,imports,exports,3.3778,3.37779,general,general,cif,fob,origin,last known destination
1979,mdg,450,sitc rev.2,sitc rev.2,mgf,mgf,imports,exports,0.473577,0.4706,special,special,cif,fob,origin,last known destination
1979,mwi,454,sitc rev.2,sitc rev.2,mwk,mwk,imports,exports,1.225,1.22614,general,general,cif,fob,origin,last known destination
1979,mys,458,sitc rev.2,sitc rev.2,myr,myr,imports,exports,0.457343,0.45738,general,general,cif,fob,origin,last known destination
1979,mli,466,sitc rev.2,sitc rev.2,xof,xof,imports,exports,0.234475,0.23793,special,special,cif,fob,origin,last known destination
1979,mlt,470,sitc rev.1,sitc rev.1,mtl,mtl,imports,exports,2.79261,2.78915,general,general,cif,fob,origin,last known destination
1979,mtq,474,sitc rev.2,sitc rev.2,frf,frf,imports,exports,0.235484,0.23393,special,special,cif,fob,origin,last known destination
1979,mex,484,sitc rev.1,sitc rev.1,mxn,mxn,imports,exports,0.43847,0.4384,general,general,cif,fob,consignment,consignment
1979,mar,504,sitc rev.2,sitc rev.2,mad,mad,imports,exports,0.256726,0.256996,special,special,cif,fob,origin,last known destination
1979,npl,524,sitc rev.1,sitc rev.1,npr,npr,imports,exports,0.12,0.12,general,general,cif,NA,consignment,last known destination
1979,nld,532,sitc rev.1,sitc rev.1,ang,ang,imports,exports,0.555556,0.555556,special,special,fob,fob,consignment,last known destination
1979,nld,528,sitc rev.2,sitc rev.2,nlg,nlg,imports,exports,0.499016,0.498843,special,special,cif,fob,consignment,last known destination
1979,ncl,540,sitc rev.2,sitc rev.2,xpf,xpf,imports,exports,0.012981,0.012942,special,special,cif,fob,origin,last known destination
1979,nzl,554,sitc rev.2,sitc rev.2,nzd,nzd,imports,exports,1.0157,1.018254,general,general,cif,fob,origin,last known destination
1979,nic,558,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
